"sra_id","marine surface","hot spring","human ear","human vagina","other water","built environment","chemical vessel","human","microbial mat","human blood","human respiratory","marine","sludge","saltern","human eye","mine","human wound","rock","food","soil","human gut","human urogenital","marine coastal","biofilm","marine deep","sand","mine drainage","clay","contaminated water","marine benthic","human liver","human bone","human skin","sediment","fresh water","plant","spring","fungus","biogas material","animal","waste water","bone","oil","mud","hypersaline lake","solid environmental material","air","human brain","coal mine","percent_unique_kmer","percent_16S","percent_phage","percent_Prokaryote","percent_human","source"
"SRR1538672","1.14540601267","0","0","0","1.84039155391","3.850439590033","0.796751001949","5.2805422794600005","0","2.7697156375","3.2294429261990003","21.592890524113002","0","0","0","0","2.35304510876","0","18.620723157125","9.4890056513355","1.56293569295","2.45965746082","0","0","0","0","0","0","0","0","0","0","3.13287084531","0","0","8.125320228947999","0","0","0","6.623154279201","3.784639855881","0","0","2.89903956915","0","0","0.444028624703","0","0","1.030541","0","0","0","0.01","fungus"
"SRR3017087","0","0","0","0","0","0.0397256446611","0","4.666567355757","0","0.462833132591","14.2555252777","14.628018549421","0","0","0","0","0","0","0.25206681483703003","0","8.112987474721","0","0","0","0","0","0","0","0","0","0","0","0","7.13742714827","0","0","0","0","0","39.98850898684","10.456339615225","0","0","0","0","0","0","0","0","91.9414060023602","0","0","0","0.00","fungus"
"SRR5822804","0","0.86725467029","0","0","14.222438286392002","0","0","21.179329493405998","0","0.4306838287997","8.21374138683","23.121133256527","0","0","0","0","0","0","0","1.092652234304","2.09236079717","0.0531471438002","0","0","0","0","0","0","0","0","0","0","0","0.518961753267","0","0.4102635626784","0","0","0","26.126578176406","0.21192903198","0","1.1660076682","0","0","0","0.2935187099925","0","0","91.3705836127636","0.0100000000000051","0","0.0400000000000063","0.00","fungus"
"SRR5823778","0","2.447922414653","0","0","2.0559035552519997","0","0","21.091422851564403","0","0.480760888584","8.60913886964","39.475482607103","0","0","0","0","0","0","0","0","0.369479012006","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22.565544419706","0","0","2.90434538146","0","0","0","0","0","0","90.6631608184968","0","1","0.120000000000005","0.00","fungus"
"SRR332539","0.936757242395","0.195084768587","0","0","8.290136730506001","0.102012563488","0","0.462092583067","0","0","11.654617330435999","6.813174430808601","0.14977494517","0","0","0","0","0","4.1481974601365","14.42595623517133","6.155265673619","10.565243805064","0","0","0","0","0","0","0","0","0","0","0","0.7750536479505","14.083585719435657","17.293344547550003","0","3.26017374464","0","0","0","0","0.170960501888","0","0","0","0","0.518568070016","0","81.0763087","0.08","0.02","12.43","0.00","fungus"
"SRR3017086","0","0","0","0","0","0.041541681907","0","5.110107137236","0","0.522544543232","16.0072268726","14.5057730995246","0","0","0","0","0","0","0.23662716643495","0","7.925497833474","0","0","0","0","0","0","0","0","0","0","0","0","4.5010399312753","0","0","0","0","0","41.410689197989996","9.738952536393","0","0","0","0","0","0","0","0","92.0981885476559","0","0","0","0.00","fungus"
"SRR332521","0","1.64591826179677","0","0.914649299021","8.198465906083701","1.06020746503795","2.5145473118661","2.2781490101671","0","2.5291774311681","3.5233046640207135","8.0542654381482","3.3340107317497996","1.03795030229732","0","0","0","0","0.7323141308716601","19.765177730091697","6.130156880819779","0.1069285777225","0.8792652438017999","0","1.19735302277","0.279804280214","0","0","0","0.24227054036999995","0","0","0","3.78259407617416","1.42992124103519","12.77368752435775","0","0","0","6.24782350572934","7.267022163124301","1.31567481182","0.0750651869636","1.0276044626532","0.2336727083237","1.4230180918042001","0","0","0","93.698622","0.03","0","1.71","0.00","fungus"
"SRR3017094","0","2.7458638821309","0","0.793251238651","12.287852628236202","0.09200380597954","13.30825579196","7.092830561065139","0","0.18827692246519998","9.967004539891619","11.4962985526554","0","0.238494594289074","0","0","0","0","1.9837071525788","0.75101522129583","2.9170147385705","0","0","0","0","1.066372843665","0","0","0","0.027580868272","0","0","0","3.4948193663050002","0.00911663506199","0.18293865827807","0","0","0","22.203941158938157","6.772469993392","0","0.773690663673","0.47568289581","0","0","0.0995749095732","1.03194237731","0","89.405001055922","0","0","0.25","0.00","fungus"
"SRR332537","0","0","0","0","11.660023640539002","0","0","0","0","0","2.85500939839","0.279207120085","0.12299855525303999","0.0879044782616","0","0","0","0","0.3221729313465","54.512196730134995","0.7686834504064","0","0.0679499206928","0","0","0","0","0","0","0","0","0","0","2.9607440262430003","3.4843395330232","7.270459811456","0","13.298921259690001","0","1.22698978498","0.192675979619","0","0.889723379877","0","0","0","0","0","0","95.0155136","0.13","0.03","26.1","0.00","fungus"
"SRR3017098","1.76692127754","0.917400550845","0","0","12.6693132950912","0","6.30261007993","14.823147848855","0","0.1595047027566","12.0941213456731","7.0681654556239994","0","0","0","0","0","0","0.22239907851690002","0.20928736972151","7.483738585583399","0.125259397528","0","0","0","0.681127968026","0","0","0","0.366729530012","0","0","0","6.551144063763","0.587351523576","1.4220476529","0","0","0","22.397771941349138","1.7796105338187","0","0.953143959467","0.685604986849","0","0","0.327912861547","0.405685991016","0","94.8537662015857","0.019999999999996","0.019999999999996","0.829999999999998","0.00","fungus"
