sra_id,sand,plant,hot spring,food,human skin,sludge,mine,human,coal mine,chemical vessel,clay,contaminated water,microbial mat,marine,human brain,marine coastal,human ear,gaseous environmental material,soil,saltern,hypersaline lake,fungus,solid environmental material,liquid environmental material,sediment,human blood,animal,human mouth,marine deep,human wound,human vagina,air,fresh water,oil,spring,built environment,mud,biofilm,marine benthic,rock,solid waste,waste water,marine surface,other water,mine drainage,human lungs,human urogenital,human gut,human nose,human bone,percent_unique_kmer,percent_16S,percent_phage,percent_Prokaryote,source
SRR5252351,0,2.265056099,0.230228998,0,0,4.379549269,0,10.9016726,0,2.118714189,0,0,0,5.741867917,0,0,0,0,16.95296733,3.868335688,0,0,0,0,13.92777936,0,10.54140862,0,0,0,0.043080504,0,4.531246723,0,0,0,0,1.871694462,0,0,0,1.607882546,0,20.10781115,0,0,0,0.910127419,0,0,83.13388922,0.18,0.01,3.5,soil
SRR4030095,0,3.346100917,0.101867133,2.26811349,0,0.782566233,0,11.4204668,0,0,0,0,0,0,0,0,0,0,41.10318242,8.678520192,0,0,0,0,8.817473128,0,1.222139004,0.424761421,0,0,0.172678531,0,0,0,0,0,0.692585758,0,0,0,0,0.632558425,0,20.33698655,0,0,0,0,0,0,98.59407569,0.02,0,0.94,soil
SRR5438132,0,3.469646673,0.039010209,0.514282052,0,2.662737233,0,0.875405173,0,0.101239891,0,0,0,0.506049395,0,0.029488102,0,0,70.27091122,0.42611542,0,0,0.004812357,0,4.964212858,0.030286958,3.506583567,0,0,0,0,0,0,0,0,0,0.026672595,2.156826935,0,0,0,0.536025045,0,8.366490679,0.36744683,0,0,1.145756812,0,0,97.11308513,0.02,1.22,0.7,soil
SRR5207253,0,2.645298026,0,0.638424767,0,0.795496196,0,0.525587372,0,0.13397337,0,0,0,0.85868488,0,0.043976902,0,0,68.3634692,0,0,0,0.213990739,0,5.769378654,0,7.416392453,0,0,0,0.086849103,0,0.008865859,0,0,0,0.378130963,1.828702144,0,0,0,0.439745673,0,8.599883668,0.100399443,0,0,1.15275059,0,0,96.12072607,0,2.19,0.68,soil
ERR1742271,0,15.30029115,0,0,0,2.291056657,0,5.946930531,0,0,0,0,0,0,0,0,0,0,49.5515369,2.676258024,0,0,0,0,4.326021813,0,0.275747629,0.716817375,0,0,0,0,0,0,0,0,0,1.326312907,0,0,0,2.003798382,0,14.623756,0.041647739,0,0,0.919824897,0,0,99.01215001,0.02,0,1.11,soil
SRR3989259,0,5.746070802,0,6.612557566,0,3.332896148,0,6.909917493,0,0,0,0,0,0,0,0,0,0,25.32931891,6.933304094,0,0,0,0,11.87110383,0,3.567834009,0.794108103,0,0,0,0,0,0,0,0.26622034,1.712216659,1.014311385,0,0,0,5.391374149,0,18.67481967,0,0,0,1.843946849,0,0,93.5084419,0.04,0,0.42,soil
SRR3985624,0,4.332046558,0,3.20759881,0,1.777774103,0,9.438147279,0,0.359236354,0,0,0,0.497474388,0,0.205983137,0,0,39.80889442,2.231464132,0,0,0.222747924,0,5.540531436,0,1.787513181,0.759511771,1.012867985,0,0.575874527,0,5.14272138,0,0,0.25327476,0.408260243,0.081122402,0,0,0,0,0,16.88685576,5.07344423,0,0,0.396655227,0,0,92.3805711,0.02,0,0.29,soil
SRR5712692,0,1.986170807,0.081082395,1.222593051,0,0.680735001,0,0.251288217,0,0.069540423,0,0,0,0.541418675,0,0.061504644,0,0,66.76163703,0,0,0,0,0,10.35582955,0,4.228221154,0,0,0,0.390453224,0,0.273436002,0,0,0,0.215680739,1.756721996,0,0,0,0.148249784,0,10.21637362,0.119686697,0,0,0.639376996,0,0,98.90692355,0.03,0.2,0.64,soil
ERR753911,0,13.96881785,0,2.981938314,0,2.016244142,0,5.756113947,0,0,0,0,0,0,0,0,0,0,50.77707666,4.564438478,0,0,0,0,4.212907835,0,0.979747495,0,0,0,0,0,0.538657482,0,0,0,0.226727965,0.294468251,0,0,0,2.657194994,0,10.75067752,0,0,0,0.274989068,0,0,96.0668794,0.01,0,1.2,soil
ERR1700722,0,6.929564808,0.075332165,3.058811311,0,1.035801708,0,9.098462902,0,0,0,0,0,0,0,0,0,0,44.64534012,3.849952081,0,0,0,0,5.254717402,0,2.992941608,0,0,0,0,0,3.615277497,0,0,0,0.245187868,0.33025059,0.140773295,0,0,1.787547657,0,15.93106246,0.426831358,0,0,0.582145173,0,0,99.04077206,0.01,0,1.27,soil
ERR1742260,0,26.55417043,0,2.686925144,0,6.807293783,0,3.998658458,0,0.582767996,0,0,0,0,0,0,0,0,35.53522614,3.758823257,0,0,0.226916041,0,2.998708655,0,1.565717291,0,0,0,0,0,2.587752604,0,0,0,0.883808397,0.638284661,0,0.289286896,0,1.626927954,0,8.259492414,0,0,0,0.999239884,0,0,98.71028695,0.01,0.01,2.02,soil
SRR5245599,0,12.66425196,0,4.184744731,0,3.842432402,0,2.269737606,0,0,0,0,0,0,0,0,0,0,38.56477396,6.21275323,0,0,0,0,5.795174982,0,2.849176215,0,0,0,0,0,1.52485636,0,0,0,1.289293944,0,0,0.245791126,0,1.924074241,0,18.25573502,0,0,0,0.377204227,0,0,97.81330403,0.02,0,1.7,soil
